episode,phase,total_steps,outcome,length,discounted_return
190,il,3617,success,21,0.5905
191,il,3644,too_close,27,0.5042
192,il,3679,too_close,35,0.4084
193,il,3701,success,22,0.5751
194,il,3706,collision,5,-0.2479
195,il,3722,success,16,0.6736
196,il,3731,success,9,0.81
197,il,3761,collision,30,-0.1198
198,il,3789,success,28,0.4911
199,il,3791,collision,2,-0.2584
200,il,3794,collision,3,-0.2372
201,il,3820,success,26,0.5176
202,il,3836,collision,16,-0.1685
203,il,3858,collision,22,-0.1655
204,il,3879,success,21,0.5905
205,il,3886,collision,7,-0.2289
206,il,3909,collision,23,-0.1411
207,il,3915,success,6,0.8766
208,il,3939,too_close,24,0.5288
209,il,3951,collision,12,-0.189
210,il,3969,success,18,0.639
211,il,3986,success,17,0.6561
212,il,3992,too_close,6,0.8725
213,il,4013,collision,21,-0.1579
214,il,4029,collision,16,-0.1816
215,il,4032,collision,3,-0.2512
216,il,4051,success,19,0.6224
217,il,4057,collision,6,-0.2331
218,il,4073,collision,16,-0.1771
219,il,4099,collision,26,-0.1444
220,il,4113,success,14,0.71
221,il,4125,collision,12,-0.2173
222,il,4148,success,23,0.5602
223,il,4157,collision,9,-0.2186
224,il,4168,collision,11,-0.1921
225,il,4176,success,8,0.8316
226,il,4194,success,18,0.639
227,il,4205,collision,11,-0.1943
228,il,4206,collision,1,-0.25
229,il,4220,collision,14,-0.191
230,il,4239,success,19,0.6224
231,il,4247,success,8,0.8316
232,il,4257,success,10,0.7889
233,il,4269,success,12,0.7485
234,il,4311,collision,42,-0.0937
235,il,4344,too_close,33,0.4228
236,il,4356,success,12,0.7485
237,il,4387,collision,31,-0.1134
238,il,4438,success,51,0.2679
239,il,4464,collision,26,-0.1458
240,il,4491,collision,27,-0.1356
241,il,4493,success,2,0.974
242,il,4499,success,6,0.8766
243,il,4506,success,7,0.8538
244,il,4554,collision,48,-0.0849
245,il,4572,success,18,0.639
246,il,4596,collision,24,-0.1771
247,il,4606,success,10,0.7889
248,il,4612,collision,6,-0.2304
249,il,4636,collision,24,-0.1557
250,il,4650,success,14,0.71
251,il,4662,success,12,0.7485
252,il,4681,too_close,19,0.6211
253,il,4709,success,28,0.4911
254,il,4733,too_close,24,0.54
255,il,4734,collision,1,-0.25
256,il,4763,collision,29,-0.1364
257,il,4775,success,12,0.7485
258,il,4804,success,29,0.4783
259,il,4821,collision,17,-0.1759
260,il,4854,too_close,33,0.4305
261,il,4871,success,17,0.6561
262,il,4883,success,12,0.7485
263,il,4886,collision,3,-0.244
264,il,4891,collision,5,-0.225
265,il,4914,collision,23,-0.1504
266,il,4924,success,10,0.7889
267,il,4925,collision,1,-0.25
268,il,4934,too_close,9,0.7853
269,il,4944,collision,10,-0.2092
270,il,4961,success,17,0.6561
271,il,5014,success,53,0.2542
272,il,5031,collision,17,-0.164
273,il,5081,success,50,0.2751
274,il,5089,success,8,0.8316
275,il,5098,success,9,0.81
276,il,5118,too_close,20,0.5532
277,il,5137,collision,19,-0.1688
278,il,5171,success,34,0.4193
279,il,5174,success,3,0.9487
280,il,5184,success,10,0.7889
281,il,5189,success,5,0.9
282,il,5198,collision,9,-0.267
283,il,5202,collision,4,-0.2516
284,il,5227,success,25,0.5314
285,il,5261,too_close,34,0.39
286,il,5280,success,19,0.6224
287,il,5293,success,13,0.729
288,il,5296,collision,3,-0.2608
289,il,5313,collision,17,-0.1659
290,il,5322,success,9,0.81
291,il,5348,too_close,26,0.4892
292,il,5375,success,27,0.5042
293,il,5394,collision,19,-0.1556
294,il,5403,success,9,0.81
295,il,5425,success,22,0.5751
296,il,5439,too_close,14,0.6707
297,il,5449,success,10,0.7889
298,il,5478,too_close,29,0.4783
299,il,5500,success,22,0.5751
300,il,5509,collision,9,-0.2154
301,il,5535,too_close,26,0.5176
302,il,5558,too_close,23,0.5602
303,il,5567,success,9,0.81
304,il,5609,success,42,0.3396
305,il,5627,too_close,18,0.639
306,il,5675,too_close,48,0.2788
307,il,5706,success,31,0.4538
308,il,5714,collision,8,-0.2209
309,il,5724,success,10,0.7889
310,il,5730,success,6,0.8766
311,il,5767,too_close,37,0.3719
312,il,5785,collision,18,-0.1598
313,il,5814,success,29,0.4783
314,il,5876,success,62,0.2005
315,il,5884,success,8,0.8316
316,il,5901,too_close,17,0.6527
317,il,5910,collision,9,-0.2185
318,il,5915,success,5,0.9
319,il,5946,success,31,0.4538
320,il,5958,success,12,0.7485
321,il,5967,collision,9,-0.2178
322,il,5994,too_close,27,0.5042
323,il,6004,collision,10,-0.208
324,il,6013,success,9,0.81
325,il,6032,collision,19,-0.1601
326,il,6050,collision,18,-0.1698
327,il,6084,too_close,34,0.4193
328,il,6106,success,22,0.5751
329,il,6113,collision,7,-0.2453
330,il,6128,success,15,0.6916
331,il,6140,success,12,0.7485
332,il,6157,success,17,0.6561
333,il,6169,collision,12,-0.2068
334,il,6184,success,15,0.6916
335,il,6210,too_close,26,0.5176
336,il,6225,collision,15,-0.1866
337,il,6247,collision,22,-0.1464
338,il,6260,success,13,0.729
339,il,6269,success,9,0.81
340,il,6281,success,12,0.7485
341,il,6300,too_close,19,0.6221
342,il,6318,too_close,18,0.5932
343,il,6380,too_close,62,0.2005
344,il,6401,success,21,0.5905
345,il,6423,success,22,0.5751
346,il,6452,success,29,0.4783
347,il,6463,success,11,0.7684
348,il,6478,success,15,0.6916
